id, display_name, type, group, pose.x, pose.y, pose.yaw,
0050a272-cee9-4422-bbff-37b81a14c44d, 8b, , , 6.76, -5.48, -0.65,
027218a6-7347-4a2e-b821-d25c1c8979e0, 5a, , , -4.07, 3.06, -2.23,
13f1ae35-ed16-4b2c-b9e9-62d26d331b20, 8, , , 7.8, -4.15, -1.57,
1437281c-f891-4991-80cc-c9c91919b62a, 6, , , -7.8, 4.38, -1.64,
252ea691-7955-406b-89c8-c21daa3a6379, 5b, , , -6.17, 3.02, -0.87,
34256294-8c5a-424b-a309-cef4a0b5d71d, 18a, , , 9.55, -21.8, -2.3,
6b4173c5-01a8-4352-b1cb-3a09600404ea, 17a, , , 7.3, -22.14, -2.27,
6e03ed48-46ca-4fd0-ae68-bcc92eddbb74, 17b, , , 5.32, -21.91, -0.95,
85ca629f-76e3-459e-9211-2dd0e77609aa, 6b, , , -8.73, 3.16, -0.85,
9563894d-1685-49f7-918a-8b220d22637b, 18b, , , 7.34, -22.18, -0.79,
972dfa36-c06e-4f9f-ae16-61b7d3098d65, 5, , , -5.12, 4.28, -1.53,
a404843f-3038-4b81-a023-da5d8cb2eed6, 17, , , 6.32, -20.97, -1.51,
a9f4aec6-0990-4539-a743-86b91d0f3112, 7, , , 5.74392, -4.04751, -1.58,
c31612ee-bf1c-4561-9a75-3d4a7eef3b93, 7b, , , 4.87, -5.11, -1.08,
dbd2f6f3-9f8b-4e33-8da3-5fa0d4cef9b1, 7a, , , 6.75, -5.49, -2.24,
eb490f39-b418-4a9b-be76-3acf5a7073ec, 6a, , , -6.77, 3.06, -2.41,
ee686403-4331-4c9b-93ba-cb8c364f3f00, 18, , , 8.23, -20.91, -1.57,
